COMPANYID;CEQID;CANID;DATA;DT_INTEGRACAO;LAT;LON;ALT;DIRECTION;SPEED;FAMILYCODE;FUNCTION;ERRORTAGS;TYPE;TEXT;UNIFIEDVALUE;UOM;VALUE
ACC000028047;CEQ000439555;7411;24/09/2023 15:57:27;24/09/2023 19:26:52;-22.638786;-50.082115;569.81;23.2;;BC_HYD_PRESS;last;;Numeric;;5230;KPA;5230
ACC000028047;CEQ000439555;7411;24/09/2023 15:56:28;24/09/2023 19:26:52;-22.639786;-50.082474;569.75;21.2;;BC_HYD_PRESS;last;;Numeric;;4335;KPA;4335
ACC000028047;CEQ000439555;7411;24/09/2023 15:55:27;24/09/2023 19:26:52;-22.640104;-50.082676;569.6;147.1;;BC_HYD_PRESS;last;;Numeric;;440;KPA;440
ACC000028047;CEQ000439555;7411;24/09/2023 15:54:27;24/09/2023 19:26:52;-22.639425;-50.082424;567.3;200.2;;BC_HYD_PRESS;last;;Numeric;;3980;KPA;3980
ACC000028047;CEQ000439555;7411;24/09/2023 10:43:39;24/09/2023 14:06:01;-22.636381;-50.082863;571.51;219.7;;BC_HYD_PRESS;last;;Numeric;;10060;KPA;10060
ACC000028047;CEQ000439555;7411;22/09/2023 11:09:56;22/09/2023 14:13:39;-22.639547;-50.09226;535.68;192.4;;BC_HYD_PRESS;last;;Numeric;;5150;KPA;5150
ACC000028047;CEQ000439555;7411;23/09/2023 05:45:57;23/09/2023 18:25:49;-22.634666;-50.086277;549.81;4.5;;BC_HYD_PRESS;last;;Numeric;;5855;KPA;5855
ACC000028047;CEQ000439555;7411;23/09/2023 05:30:56;23/09/2023 18:25:49;-22.642607;-50.088036;556.57;0;;BC_HYD_PRESS;last;;Numeric;;1865;KPA;1865
ACC000028047;CEQ000439555;7411;23/09/2023 05:29:55;23/09/2023 18:25:49;-22.641861;-50.087776;556.9;198.8;;BC_HYD_PRESS;last;;Numeric;;6055;KPA;6055
ACC000028047;CEQ000439555;7411;23/09/2023 05:15:53;23/09/2023 18:25:49;-22.640652;-50.08735;558.74;14.5;;BC_HYD_PRESS;last;;Numeric;;5065;KPA;5065
ACC000028047;CEQ000439555;7411;23/09/2023 05:14:53;23/09/2023 18:25:49;-22.641775;-50.087708;562.78;17.4;;BC_HYD_PRESS;last;;Numeric;;5390;KPA;5390
ACC000028047;CEQ000439555;7411;23/09/2023 04:59:50;23/09/2023 18:25:49;-22.642628;-50.088074;555.26;200.8;;BC_HYD_PRESS;last;;Numeric;;6145;KPA;6145
ACC000028047;CEQ000439555;7411;23/09/2023 04:46:47;23/09/2023 18:25:49;-22.637154;-50.086693;562.36;5.7;;BC_HYD_PRESS;last;;Numeric;;6300;KPA;6300
ACC000028047;CEQ000439555;7411;23/09/2023 04:45:48;23/09/2023 18:25:49;-22.638277;-50.08687;560.74;9.3;;BC_HYD_PRESS;last;;Numeric;;5040;KPA;5040
ACC000028047;CEQ000439555;7411;24/09/2023 03:02:58;24/09/2023 07:46:28;-22.639656;-50.08476;579.16;188.1;;BC_HYD_PRESS;last;;Numeric;;5175;KPA;5175
ACC000028047;CEQ000439555;7411;24/09/2023 02:43:54;24/09/2023 05:54:44;-22.638462;-50.08447;569.18;193.2;;BC_HYD_PRESS;last;;Numeric;;3755;KPA;3755
